Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"R55","10k","R_0603_1608Metric",128.750000,-103.250000,90.000000,bottom
"R56","39k","R_0603_1608Metric",116.466000,-102.000000,90.000000,bottom
"R57","39k","R_0603_1608Metric",120.500000,-114.000000,90.000000,bottom
"R58","39k","R_0603_1608Metric",126.750000,-103.250000,90.000000,bottom
"R59","39k","R_0603_1608Metric",131.750000,-115.337500,-90.000000,bottom
"R60","1k","R_0603_1608Metric",118.000000,-136.000000,90.000000,bottom
"R61","1k","R_0603_1608Metric",138.000000,-136.000000,90.000000,bottom
"R62","1k","R_0603_1608Metric",129.250000,-115.250000,-90.000000,bottom
"R63","4k3","R_0603_1608Metric",135.000000,-78.000000,0.000000,bottom
"R64","267k","R_0603_1608Metric",135.000000,-79.500000,0.000000,bottom
"R65","499k","R_0603_1608Metric",121.000000,-81.500000,0.000000,bottom
"R66","10k","R_0603_1608Metric",121.500000,-91.000000,0.000000,bottom
"R67","270","R_0603_1608Metric",121.000000,-77.500000,0.000000,bottom
"U1","SSI2131","STC_SOP-16_3.9x9.9mm_P1.27mm",97.770151,-80.476082,180.000000,bottom
"U2","TL431BCDBZ","SOT-23",110.637500,-75.790812,180.000000,bottom
"U3","TL072HxD","SOIC-8_3.9x4.9mm_P1.27mm",109.865000,-66.025000,-90.000000,bottom
"U4","TL072HxD","SOIC-8_3.9x4.9mm_P1.27mm",84.365000,-118.899000,-90.000000,bottom
"U5","TL072HxD","SOIC-8_3.9x4.9mm_P1.27mm",99.000000,-108.000000,-90.000000,bottom
"U6","TL431BCDBV","SOT-23-5",114.637500,-75.790812,180.000000,bottom
"U7","TL072HxD","SOIC-8_3.9x4.9mm_P1.27mm",119.466000,-108.000000,-90.000000,bottom
"U8","TL072HxD","SOIC-8_3.9x4.9mm_P1.27mm",129.750000,-109.250000,-90.000000,bottom
"U9","SSI2131","STC_SOP-16_3.9x9.9mm_P1.27mm",128.000000,-80.500000,180.000000,bottom
"U10","TLV1117-50IDCYR","SOT-223-3_TabPin2",113.000000,-87.000000,90.000000,bottom
